Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","21","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","43","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","21","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","371","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","36","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2513","Orge et produits","2017","2017","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2513","Orge et produits","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","395","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2515","Seigle et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2515","Seigle et produits","2017","2017","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","30","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2516","Avoine","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2517","Millet et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","626","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","7115","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2807","Riz et produits","2017","2017","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","161","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2513","Orge et produits","2017","2017","Milliers de tonnes","940","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2513","Orge et produits","2017","2017","Milliers de tonnes","431","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","3209","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","645","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2515","Seigle et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","63","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2516","Avoine","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2517","Millet et produits","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","8987","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","7251","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2807","Riz et produits","2017","2017","Milliers de tonnes","14","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","389","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2513","Orge et produits","2017","2017","Milliers de tonnes","6560","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2513","Orge et produits","2017","2017","Milliers de tonnes","20","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","4855","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","901","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2515","Seigle et produits","2017","2017","Milliers de tonnes","2092","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2515","Seigle et produits","2017","2017","Milliers de tonnes","769","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","482","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2516","Avoine","2017","2017","Milliers de tonnes","101","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2517","Millet et produits","2017","2017","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2517","Millet et produits","2017","2017","Milliers de tonnes","10","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","2304","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","10","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","1062","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2807","Riz et produits","2017","2017","Milliers de tonnes","90","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","601","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2513","Orge et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2514","Maïs et produits","2017","2017","Milliers de tonnes","534","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2514","Maïs et produits","2017","2017","Milliers de tonnes","1323","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2515","Seigle et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2515","Seigle et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2516","Avoine","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2516","Avoine","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2517","Millet et produits","2017","2017","Milliers de tonnes","4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2517","Millet et produits","2017","2017","Milliers de tonnes","53","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5521","Aliments pour animaux","S2511","Blé et produits","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2511","Blé et produits","2017","2017","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2807","Riz et produits","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
