id_bien;id_commune;no_voie;type_voie;indice_repetition;voie;nombre_piece;surface_carrez;surface_reelle_bati;type_local
10323;44162;1;RUE;;DE L ARDECHE;5;104.00;94;Appartement
13650;65059;28;RTE;;DE TOULOUSE;4;104.00;104;Appartement
25587;84065;52;AV;;JOSEPH GARNIER;3;104.00;98;Maison
33328;95476;8;;;LA PENTE DE LA RAVINIERE;5;104.00;101;Maison
34142;2B087;5620;;;MURE;4;104.00;89;Appartement
11817;54395;3;RUE;;GIRARDET;4;105.00;83;Appartement
12597;59367;142;RUE;B;JULES GUESDE;3;105.00;85;Appartement
15220;70310;29;RUE;;DES VOSGES;5;105.00;103;Appartement
15271;71076;1;RUE;C;DE BOURGOGNE;5;105.00;102;Appartement
18144;75113;3;PAS;B;FOUBERT;5;105.00;106;Appartement
29083;92060;4;RUE;;DU MOULIN FIDEL;4;105.00;103;Appartement
30520;93077;41;RUE;;CIRCULAIRE H JOUSSEAUME;5;105.00;102;Maison
230;02537;2;CHT;;DE LA QUINCY;6;106.00;109;Maison
275;03095;1;AV;B;DU DRAPEAU;5;106.00;105;Appartement
8824;39300;160;RUE;;REGARD;4;106.00;92;Appartement
23773;78624;59;RUE;;DES BOIS;3;106.00;66;Appartement
25593;84074;75;CHE;;DES TOUSQUES;4;106.00;107;Appartement
33080;95280;12;RUE;;MADELEINE RENAUD;5;106.00;106;Maison
19659;75117;62;AV;;DES TERNES;2;107.00;105;Appartement
24967;83123;74;IMP;;DES MAS DU SOLEIL;4;107.00;103;Maison
2238;11069;10;RUE;;DE LORRAINE;6;108.00;126;Appartement
6722;33318;16;RUE;B;ARTIGUEMALE;4;108.00;70;Maison
8590;38279;5099;;;PONT DE CHAMP;3;108.00;68;Maison
13147;60439;16;RUE;;ROBERT BELLEIL;3;108.00;70;Maison
974;06060;5221;;;IBAC SUPERIEUR;4;109.00;87;Maison
8181;38030;20;RUE;;DES TROIS CROIX;4;109.00;118;Appartement
8819;39198;42;AV;;MARECHAL JUIN;5;109.00;103;Appartement
11784;54395;18;RUE;;VERLAINE;5;109.00;107;Appartement
33606;95598;10;RUE;;DES ECOLES;5;109.00;109;Appartement
1996;07349;2;RUE;;PIERRE DE COUBERTIN;5;110.00;88;Appartement
2209;10387;5;PL;;PROFESSEUR LANGEVIN;3;110.00;110;Appartement
12756;59512;9;RUE;;MILN;3;110.00;98;Appartement
27192;91458;2;ALL;;DES GENETS;6;110.00;110;Maison
30951;94019;7;ALL;;DU CLOS DU BELVEDERE;5;110.00;100;Maison
31683;94056;102;AV;;DES TILLEULS;5;110.00;121;Maison
32076;94071;8;ALL;;DES MEUNIERS;6;110.00;89;Maison
33279;95427;6;RUE;;DU CLOS DE PONTOISE;4;110.00;117;Maison
23058;78358;57;AV;;DE SAINT GERMAIN;5;111.00;112;Appartement
24448;83034;16;CHE;;DE LA VENTOURESSE;5;111.00;110;Maison
26001;87050;2;RUE;;DES CHARPENTIERS;4;111.00;111;Appartement
26534;91114;14;AV;;GALLIENI;4;111.00;73;Appartement
23948;78646;76;AV;;DE PARIS;5;112.00;114;Appartement
10623;45208;9;BD;;DU CHINCHON;5;113.00;111;Appartement
11860;54395;23;AV;;FOCH;5;113.00;113;Appartement
18817;75116;12;SQ;;HENRY PATE;4;113.00;107;Appartement
20563;75120;305;RUE;;DES PYRENEES;6;113.00;120;Appartement
33536;95580;4;SQ;;DES CHARDONNERETS;6;114.00;114;Maison
1928;07102;286;RUE;;LEON JOUHAUX;5;115.00;100;Maison
4208;22278;105;RUE;;DE GOUEDIC;5;115.00;115;Appartement
16695;75107;164;RUE;B;DE L UNIVERSITE;3;115.00;105;Appartement
24601;83064;511;CHE;A;ANDRE MALRAUX;5;115.00;120;Maison
26443;91085;56;CHE;;DE LA FERTE ALAIS;5;115.00;98;Maison
30707;94011;15;AV;;DE PARIS;5;115.00;104;Maison
29006;92051;89;RUE;;JACQUES DULUD;4;116.00;109;Appartement
165;01354;226;ALL;;DES CAPUCINES;5;117.00;117;Maison
12646;59378;1;RUE;;DE L EGALITE;5;117.00;113;Appartement
14577;69293;8;ALL;;DE LA CLE DES CHAMPS;5;117.00;117;Maison
15225;70311;2;RUE;;CHARLES NODIER;4;117.00;137;Appartement
15870;74256;1207;RTE;;DU ROSAY;5;117.00;117;Appartement
24915;83115;13;AV;;GEORGES CLEMENCEAU;3;117.00;119;Appartement
30717;94015;20;RUE;;DES COUDRAIS;6;117.00;121;Appartement
26815;91228;4;SQ;;DU GRAND FOC;6;118.00;116;Maison
10601;45173;1;RUE;A;GAMBETTA;4;119.00;119;Appartement
18898;75116;22;RUE;B;DE LUBECK;5;119.00;116;Appartement
9255;41194;12;PL;B;JEANNE D ARC;4;120.00;121;Appartement
13221;60612;5;RUE;;RENOIR;6;120.00;122;Maison
25598;84081;16;RUE;;PIERRE BROSSOLETTE;4;120.00;94;Appartement
12177;56178;25;RUE;;DU FIL;3;121.00;68;Appartement
15344;72071;4;RUE;C;DES HALLES;5;121.00;120;Appartement
33149;95313;21;RES;;LES GENETS;5;121.00;81;Maison
15304;71153;63;RUE;;DU PAS DE CIBLE;3;122.00;122;Appartement
1848;06161;9001;MRN;J;BAIE DES ANGES COMMODOR;5;123.00;126;Appartement
14873;69384;6;RUE;;BONY;5;123.00;119;Appartement
29062;92051;6;AV;;DE MADRID;4;123.00;108;Appartement
27281;91494;15;RUE;;DES CAPUCINES;7;125.00;124;Maison
33589;95585;15;IMP;;DES IFS;5;126.00;128;Maison
7396;34225;13;RUE;;DE LA BASTILLE;3;128.00;55;Appartement
4327;24053;628;;;CHAMP DE MARSICOU;4;130.00;98;Appartement
5132;30073;34;CHE;;DU MOULIN A VENT;5;130.00;150;Maison
13115;60360;73;RUE;;PASTEUR;5;130.00;110;Maison
28284;92026;146;RUE;;DES ETUDIANTS;5;130.00;161;Appartement
4923;28279;25;ALL;;DU ROUSSILLON;4;131.00;100;Maison
14727;69382;11;CRS;;CHARLEMAGNE;5;131.00;131;Appartement
22024;77327;14;RUE;;JEAN JAURES;5;131.00;100;Maison
4474;25527;52;RUE;;CHARLES DE GAULLE;4;132.00;125;Appartement
29571;93005;8;AV;B;JEAN JACQUES ROUSSEAU;3;132.00;80;Maison
16932;75108;31;AV;;MONTAIGNE;4;133.00;148;Appartement
23978;78650;55;AV;;DES PAGES;3;134.00;132;Appartement
21178;77001;40;DOM;;DU BOIS DE LA GARENNE;7;135.00;118;Maison
5433;30263;9004;AV;;DE LA 1ERE ARMEE;5;137.00;146;Maison
22035;77332;19;GR;B;GRANDE RUE;2;137.00;39;Maison
12881;60057;59;RUE;;DU VINGT SEPT JUIN;4;138.00;147;Maison
23161;78383;4;SQ;;DU CLOS BRETON;6;139.00;120;Maison
23328;78466;;CHE;;DE LA MALRUE;5;139.00;151;Maison
7576;35024;15;RUE;;DU COTEAU;6;140.00;139;Maison
10765;45258;4;RUE;T;DUTHUARD;3;140.00;110;Appartement
13210;60578;96;RUE;;DU CHATEAU;4;140.00;151;Appartement
32581;95039;35;RUE;;DES HORTENSIAS;4;140.00;122;Maison
23720;78586;20;ALL;;ARTHUR RIMBAUD;4;141.00;80;Maison
1991;07331;1;AV;;CLAUDE EXPILLY;1;143.00;147;Appartement
14058;69111;442;RTE;;DU MARGAND;4;144.00;143;Appartement
9054;40195;52;AV;;DE LA CONCORDE;4;145.00;125;Appartement
21022;76540;10;RUE;;D ECOSSE;5;145.00;148;Appartement
9605;42237;2;RUE;;JACQUARD;4;146.00;97;Appartement
16353;75104;48;RUE;;DE RIVOLI;4;146.00;130;Appartement
22063;77339;21;RUE;;DU PONT DE L ARCADE;4;146.00;146;Appartement
23318;78455;9004;;;LA TUILERIE BIGNON;7;149.00;148;Maison
1376;06088;308;BD;;DE LA MADELEINE;3;150.00;48;Appartement
24498;83047;1038;AV;;JEAN MONNET;7;150.00;172;Maison
1386;06088;40;BD;;VICTOR HUGO;5;154.00;130;Appartement
9525;42218;2;RUE;B;HECTOR BERLIOZ;1;155.00;217;Appartement
16753;75107;69;RUE;;VANEAU;4;157.00;150;Appartement
22116;77373;2;RUE;;BOISSONNADE;6;157.00;136;Maison
6655;33281;45;RUE;T;DE LA SOURCE;4;158.00;158;Maison
31566;94047;18;ALL;;DES EGLANTINES;7;158.00;133;Maison
29032;92051;3;BD;;DE LA SAUSSAYE;4;161.00;136;Appartement
17255;75110;27;RUE;;BICHAT;5;163.00;163;Appartement
4645;26362;29;RUE;;ALBERT VARNET;5;175.00;150;Maison
27491;91631;14;RES;;DOMAINE DES BOIS JARCY;6;179.00;180;Maison
9307;42059;27;RUE;B;CLAUDE PROTIERE;4;180.00;95;Maison
11241;50218;13;RUE;;CLEMENT DESMAISONS;4;180.00;177;Appartement
11532;51454;149;AV;;DE LAON;4;181.00;159;Appartement
9309;42059;2;RUE;;JULES FERRIER;5;190.00;176;Appartement
18844;75116;12;RUE;B;RAYNOUARD;5;194.00;200;Appartement
14136;69171;2;RUE;;JOSEPH VOLAY;5;197.00;150;Appartement
21662;77243;15;RUE;;DES ANEMONES;10;197.00;197;Appartement
10920;48080;83;AV;;DU MARECHAL FOCH;5;198.00;100;Appartement
72;01148;8;RUE;;DE LA BIENNE;4;200.00;121;Appartement
21032;76540;14;RUE;;DU CORDIER;2;208.00;41;Appartement
19564;75117;95;RUE;;JOUFFROY D'ABBANS;6;218.00;213;Appartement
19565;75117;95;RUE;;JOUFFROY D'ABBANS;6;234.00;230;Appartement
21638;77215;14;AV;;DES ERABLES;6;245.00;255;Maison
12066;56101;1;RUE;B;DE FETAN BERR;2;274.00;36;Appartement
4529;26116;9002;PL;A;DU CHAMPS DE MARS;3;275.00;61;Appartement
21235;77022;6;RES;B;LA CHARBONNIERE;8;290.00;274;Maison
22240;77435;35;VC;;RES DE MONTGERMONT;6;318.00;185;Maison
8604;38347;1;PL;;SAINT ROMME;2;350.00;40;Appartement
198;02201;5;RUE;A;FERNAND BAZIN;6;570.00;110;Maison
19096;75116;23;BD;;DE BEAUSEJOUR;8;595.00;241;Appartement
3976;17421;34;CRS;B;VICTOR HUGO;3;815.00;81;Appartement
7921;35288;2;RUE;;DES 6 FR RUELLAN;3;4936.00;52;Appartement
27114;91421;90;RUE;;DE LA JUSTICE;3;5153.00;53;Appartement
465;05023;8;AV;;GEN DE GAULLE;1;0.4;26;Appartement
10548;45028;8;RUE;;DE LA SIRENE;1;0.5;18;Appartement
17245;75110;25;RUE;;LA GRANGE AUX BELLES;1;0.5;14;Appartement
10719;45234;6;RUE;;DE LA BOURIE ROUGE;4;1.31;107;Appartement
32219;94078;31;RUE;;EMILE ZOLA;1;1.36;13;Appartement
19542;75117;7;RUE;;VILLEBOIS MAREUIL;3;1.43;80;Appartement
12306;59017;29;RUE;;SAINT LOUIS;3;1.76;65;Maison
15613;74010;2;AV;;DE BROGNY;1;10.01;10;Appartement
16238;75103;73;RUE;;CHARLOT;1;10.02;9;Appartement
20205;75119;113;RUE;;DE MEAUX;1;10.03;10;Appartement
12968;60157;5;RUE;;DUGAY DU FAY;3;10.04;57;Appartement
16258;75103;8;RUE;;VOLTA;1;10.04;20;Appartement
7848;35238;9;BD;;MAL DE LATTRE DE TASSIGNY;1;10.05;10;Appartement
17524;75111;2;RUE;;DES GONCOURT;1;10.05;10;Appartement
17845;75112;17;RUE;;D AUSTERLITZ;1;10.06;10;Appartement
20629;75120;4;RUE;;JEAN BAPTISTE DUMAY;2;10.06;20;Appartement
